date,primary_type,latitude,longitude,location_description,arrest,year
2026-01-25 00:00:00,assault,41.731145378,-87.574354255,RESIDENCE,False,2026
2026-01-25 00:00:00,deceptive practice,41.873807522,-87.69445629,OTHER (SPECIFY),False,2026
2026-01-25 00:00:00,battery,41.751809787,-87.724633841,RESIDENCE,False,2026
2026-01-25 00:00:00,motor vehicle theft,41.980778822,-87.80543826,STREET,False,2026
2026-01-25 00:00:00,battery,41.77999793,-87.629294594,GAS STATION,False,2026
2026-01-25 00:00:00,deceptive practice,41.906276004,-87.670011875,GROCERY FOOD STORE,False,2026
2026-01-25 00:00:00,theft,41.752259601,-87.722001931,DRIVEWAY - RESIDENTIAL,False,2026
2026-01-25 00:00:00,deceptive practice,41.800977123,-87.624245812,RESIDENCE,False,2026
2026-01-25 00:00:00,theft,41.755294842,-87.634413384,APARTMENT,False,2026
2026-01-25 00:00:00,assault,41.681768076,-87.68480967,RESIDENCE,False,2026
2026-01-25 00:00:00,battery,41.887310916,-87.72096213,APARTMENT,True,2026
2026-01-25 00:00:00,criminal damage,41.736855332,-87.556960404,STREET,False,2026
2026-01-25 00:00:00,battery,41.742430608,-87.581967545,STREET,False,2026
2026-01-25 00:00:00,battery,41.967259531,-87.655237517,OTHER (SPECIFY),False,2026
2026-01-25 00:00:00,theft,41.677052099,-87.635864574,RESIDENCE,False,2026
2026-01-25 00:00:00,theft,41.834042232,-87.674368991,DEPARTMENT STORE,True,2026
2026-01-24 23:48:00,theft,41.925230739,-87.662513983,CONVENIENCE STORE,False,2026
2026-01-24 23:48:00,battery,41.777420064,-87.634979772,APARTMENT,True,2026
2026-01-24 23:45:00,battery,41.740660613,-87.651042373,RESIDENCE,False,2026
2026-01-24 23:43:00,criminal trespass,41.854739103,-87.72972276,RESIDENCE,False,2026
2026-01-24 23:42:00,theft,41.917656022,-87.688750258,DRUG STORE,True,2026
2026-01-24 23:37:00,theft,41.992935819,-87.700697034,APARTMENT,False,2026
2026-01-24 23:35:00,battery,41.882918419,-87.7666025,VEHICLE NON-COMMERCIAL,False,2026
2026-01-24 23:34:00,assault,41.851436512,-87.646460241,SIDEWALK,True,2026
2026-01-24 23:30:00,criminal sexual assault,41.907153315,-87.639680572,APARTMENT,False,2026
