id,case_number,date,block,iucr,primary_type,description,location_description,arrest,domestic,beat,district,ward,community_area,fbi_code,x_coordinate,y_coordinate,year,updated_on,latitude,longitude,location,:@computed_region_awaf_s7ux,:@computed_region_6mkv_f3dw,:@computed_region_vrxf_vc4k,:@computed_region_bdys_3d7i,:@computed_region_43wa_7qmu,:@computed_region_rpca_8um6,:@computed_region_d9mm_jgwp,:@computed_region_d3ds_rm58,:@computed_region_8hcu_yrd4,hour,st_cluster
14119149,JK159544,2026-02-23 00:00:00,016XX W MORSE AVE,1754,OFFENSE INVOLVING CHILDREN,AGGRAVATED SEXUAL ASSAULT OF CHILD BY FAMILY MEMBER,OTHER (SPECIFY),False,True,2431,024,49,1,02,1164302,1946138,2026,2026-03-02T15:42:09.000,42.007824765,-87.670841822,"{'latitude': '42.007824765', 'longitude': '-87.670841822', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",3,21853,10,49,5,9,11,39,49,0,0
14119172,JK159703,2026-02-23 00:00:00,046XX S EVANS AVE,1153,DECEPTIVE PRACTICE,FINANCIAL IDENTITY THEFT OVER $ 300,APARTMENT,False,False,0221,002,4,38,11,1182036,1874436,2026,2026-03-02T15:42:09.000,41.810677154,-87.607826722,"{'latitude': '41.810677154', 'longitude': '-87.607826722', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",1,4301,4,165,10,36,24,114,9,0,1
14119441,JK159902,2026-02-23 00:00:00,063XX W CUYLER AVE,0810,THEFT,OVER $500,STREET,False,False,1624,016,38,15,06,1133380,1926251,2026,2026-03-02T15:42:09.000,41.953853257,-87.785080407,"{'latitude': '41.953853257', 'longitude': '-87.785080407', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",25,22254,15,131,19,52,12,15,38,0,-1
14119891,JK160506,2026-02-23 00:00:00,076XX S COLFAX AVE,502P,OTHER OFFENSE,FALSE / STOLEN / ALTERED TRP,STREET,False,False,0421,004,7,43,26,1194851,1854752,2026,2026-03-02T15:42:09.000,41.756356541,-87.561471612,"{'latitude': '41.756356541', 'longitude': '-87.561471612', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",43,22538,39,245,37,24,19,225,5,0,1
14121954,JK163066,2026-02-23 00:00:00,069XX S CRANDON AVE,2825,OTHER OFFENSE,HARASSMENT BY TELEPHONE,APARTMENT,False,True,0331,003,5,43,26,1192522,1859423,2026,2026-03-02T15:42:09.000,41.769231153,-87.569854828,"{'latitude': '41.769231153', 'longitude': '-87.569854828', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",32,22538,39,142,33,24,18,262,3,0,1
14119135,JK159501,2026-02-23 00:00:00,018XX N FAIRFIELD AVE,0710,THEFT,THEFT FROM MOTOR VEHICLE,STREET,False,False,1421,014,1,22,06,1157750,1912034,2026,2026-03-02T15:42:09.000,41.914378059,-87.695881521,"{'latitude': '41.914378059', 'longitude': '-87.695881521', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",24,22535,23,180,41,1,7,171,1,0,1
14118805,JK159046,2026-02-23 00:00:00,043XX S MICHIGAN AVE,2825,OTHER OFFENSE,HARASSMENT BY TELEPHONE,APARTMENT,False,True,0215,002,3,38,26,1177880,1876305,2026,2026-03-02T15:42:09.000,41.815901118,-87.623013703,"{'latitude': '41.815901118', 'longitude': '-87.623013703', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",12,4301,4,393,9,36,24,98,8,0,1
14118898,JK159174,2026-02-22 23:50:00,048XX W ADAMS ST,0760,BURGLARY,BURGLARY FROM MOTOR VEHICLE,PARKING LOT / GARAGE (NON RESIDENTIAL),False,False,1533,015,28,25,06,1144170,1898894,2026,2026-03-02T15:42:09.000,41.878586538,-87.746103221,"{'latitude': '41.878586538', 'longitude': '-87.746103221', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",11,22216,26,69,23,32,25,137,28,23,1
14121054,JK161986,2026-02-22 23:44:00,014XX N ARTESIAN AVE,4387,OTHER OFFENSE,VIOLATE ORDER OF PROTECTION,RESIDENCE,False,True,1423,014,1,24,26,1159815,1909415,2026,2026-03-02T15:42:09.000,41.907148955,-87.688367371,"{'latitude': '41.907148955', 'longitude': '-87.688367371', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",24,21560,25,302,41,4,7,62,1,23,1
14118737,JK159031,2026-02-22 23:44:00,051XX W THOMAS ST,0486,BATTERY,DOMESTIC BATTERY SIMPLE,APARTMENT,False,True,1531,015,37,25,08B,1142052,1906843,2026,2026-03-02T15:42:09.000,41.900439056,-87.753683014,"{'latitude': '41.900439056', 'longitude': '-87.753683014', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",4,4299,26,585,45,5,25,69,37,23,1
14118732,JK159038,2026-02-22 23:42:00,078XX S SANGAMON ST,1310,CRIMINAL DAMAGE,TO PROPERTY,RESIDENCE,False,False,0621,006,17,71,14,1171334,1852867,2026,2026-03-02T15:42:09.000,41.75173053,-87.647711159,"{'latitude': '41.75173053', 'longitude': '-87.647711159', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",17,21554,70,487,31,59,20,229,17,23,1
14118768,JK159026,2026-02-22 23:40:00,019XX N WESTERN AVE,0820,THEFT,$500 AND UNDER,RESTAURANT,False,False,1434,014,32,22,06,1160053,1913029,2026,2026-03-02T15:42:09.000,41.917061131,-87.687393113,"{'latitude': '41.917061131', 'longitude': '-87.687393113', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",24,22535,23,373,40,1,7,192,32,23,1
14118781,JK159028,2026-02-22 23:33:00,002XX S STATE ST,0454,BATTERY,"AGGRAVATED P.O. - HANDS, FISTS, FEET, NO / MINOR INJURY",CTA PLATFORM,False,False,0113,001,34,32,08B,1176417,1899156,2026,2026-03-02T15:42:09.000,41.878638996,-87.627691486,"{'latitude': '41.878638996', 'longitude': '-87.627691486', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",22,14912,38,92,36,29,22,126,34,23,1
14118785,JK159021,2026-02-22 23:30:00,027XX W HARRISON ST,0820,THEFT,$500 AND UNDER,APARTMENT,False,True,1135,011,28,27,06,1158295,1897254,2026,2026-03-02T15:42:09.000,41.873809306,-87.694283701,"{'latitude': '41.873809306', 'longitude': '-87.694283701', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",11,21184,28,38,23,28,16,146,28,23,1
14119234,JK159670,2026-02-22 23:30:00,054XX W ALTGELD ST,0910,MOTOR VEHICLE THEFT,AUTOMOBILE,DRIVEWAY - RESIDENTIAL,False,False,2515,025,31,19,07,1139514,1916085,2026,2026-03-02T15:42:09.000,41.925846834,-87.762779518,"{'latitude': '41.925846834', 'longitude': '-87.762779518', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",27,22615,19,80,21,2,6,133,30,23,1
14119036,JK159359,2026-02-22 23:30:00,085XX W BRYN MAWR AVE,0430,BATTERY,AGGRAVATED - OTHER DANGEROUS WEAPON,APARTMENT,False,False,1614,016,41,76,04B,1118298,1936067,2026,2026-03-02T15:42:09.000,41.981040934,-87.840317263,"{'latitude': '41.981040934', 'longitude': '-87.840317263', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",34,22243,75,64,29,17,12,44,41,23,-1
14119253,JK159811,2026-02-22 23:27:00,020XX W SCHILLER ST,1320,CRIMINAL DAMAGE,TO VEHICLE,STREET,False,False,1424,014,1,24,14,1162574,1909428,2026,2026-03-02T15:42:09.000,41.907127255,-87.678232016,"{'latitude': '41.907127255', 'longitude': '-87.678232016', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",24,21560,25,481,41,4,7,200,1,23,1
14119252,JK159840,2026-02-22 23:27:00,020XX W SCHILLER ST,1320,CRIMINAL DAMAGE,TO VEHICLE,STREET,False,False,1424,014,1,24,14,1162574,1909428,2026,2026-03-02T15:42:09.000,41.907127255,-87.678232016,"{'latitude': '41.907127255', 'longitude': '-87.678232016', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",24,21560,25,481,41,4,7,200,1,23,1
